Timestamp,Data_Row
2025-12-21 14:11:56,RVR RWY29LMID  :1900 M
2025-12-21 14:11:56,RVR RWY11R     :2000 M
2025-12-21 14:11:56,CURRENT WEATHER :MIFG
2025-12-21 14:11:56,TREND FOR NEXT 2 HOURS:
2025-12-21 14:11:56,BECMG VIS 0800M IN MIFG=
2025-12-21 15:11:37,DELHI AIRPORT
2025-12-21 15:11:37,TEMPRATURE:  12°C
2025-12-21 15:11:37,CURRENT VISIBILITY
2025-12-21 15:11:37,AT I.G.I. AIRPORT
2025-12-21 15:11:37,DATE TIME(DDHHMM) : 211500UTC
2025-12-21 15:11:37,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 15:11:37,GEN. VIS.      :0800 M
2025-12-21 15:11:37,RVR RWY28      :2000 M
2025-12-21 15:11:37,RVR RWY28MID   :1900 M
2025-12-21 15:11:37,RVR RWY10      :2000 M
2025-12-21 15:11:37,RVR RWY27      :2000 M
2025-12-21 15:11:37,RVR RWY29R     :1900 M
2025-12-21 15:11:37,RVR RWY29RMID  :1800 M
2025-12-21 15:11:37,RVR RWY11L     :2000 M
2025-12-21 15:11:37,RVR RWY29L     :1800 M
2025-12-21 15:11:37,RVR RWY29LMID  :1700 M
2025-12-21 15:11:37,RVR RWY11R     :1900 M
2025-12-21 15:11:37,CURRENT WEATHER :MIFG
2025-12-21 15:11:37,TREND FOR NEXT 2 HOURS:
2025-12-21 15:11:37,NOSIG=
2025-12-21 16:14:30,DELHI AIRPORT
2025-12-21 16:14:30,TEMPRATURE:  12°C
2025-12-21 16:14:30,CURRENT VISIBILITY
2025-12-21 16:14:30,AT I.G.I. AIRPORT
2025-12-21 16:14:30,DATE TIME(DDHHMM) : 211600UTC
2025-12-21 16:14:30,( IST: TIME IN UTC + 0530 HRS )
2025-12-21 16:14:30,GEN. VIS.      :0800 M
2025-12-21 16:14:30,RVR RWY28      :2000 M
2025-12-21 16:14:30,RVR RWY28MID   :1800 M
2025-12-21 16:14:30,RVR RWY10      :1800 M
2025-12-21 16:14:30,RVR RWY27      :2000 M
2025-12-21 16:14:30,RVR RWY29R     :1700 M
2025-12-21 16:14:30,RVR RWY29RMID  :1700 M
